source_url,upper_item,image,image_path,link,item,product_list_code,name
https://proquinorte.myshopify.com/pages/manejo-de-liquidos,manejo-de-liquidos,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Pipetas.png,C:\images\pipetas.jpg,https://proquinorte.myshopify.com/pages/pipetas,pipetas,,Pipetas
https://proquinorte.myshopify.com/pages/pipetas,pipetas,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/pipetas/pipetvidri.jpg,C:\images\070101.jpg,https://proquinorte.myshopify.com/collections/070101,,070101,"
Pipetas de vidrio
"
https://proquinorte.myshopify.com/pages/pipetas,pipetas,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/pipetas/pipetplastic.jpg,C:\images\070102.jpg,https://proquinorte.myshopify.com/collections/070102,,070102,"
Pipetas de plástico
"
https://proquinorte.myshopify.com/pages/pipetas,pipetas,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/pipetas/micropipet.jpg,C:\images\070103.jpg,https://proquinorte.myshopify.com/collections/070103,,070103,"
Micropipetas
"
https://proquinorte.myshopify.com/pages/pipetas,pipetas,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/pipetas/micropipet%20elec.jpg,C:\images\070104.jpg,https://proquinorte.myshopify.com/collections/070104,,070104,"
Micropipetas electrónicas
"
https://proquinorte.myshopify.com/pages/pipetas,pipetas,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/pipetas/otraspipet.jpg,C:\images\070105.jpg,https://proquinorte.myshopify.com/collections/070105,,070105,"
Otras pipetas
"
https://proquinorte.myshopify.com/pages/pipetas,pipetas,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/pipetas/complements.jpg,C:\images\070106.jpg,https://proquinorte.myshopify.com/collections/070106,,070106,"
Otros accesorios para pipetas
"
https://proquinorte.myshopify.com/pages/manejo-de-liquidos,manejo-de-liquidos,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Puntas.jpg,C:\images\puntas-de-pipeta.jpg,https://proquinorte.myshopify.com/pages/puntas-de-pipeta,puntas-de-pipeta,,Puntas de pipeta
https://proquinorte.myshopify.com/pages/puntas-de-pipeta,puntas-de-pipeta,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Puntas%20de%20pipeta/conf.jpg,C:\images\070201.jpg,https://proquinorte.myshopify.com/collections/070201,,070201,"
Puntas con filtro
"
https://proquinorte.myshopify.com/pages/puntas-de-pipeta,puntas-de-pipeta,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Puntas%20de%20pipeta/sinf.jpg,C:\images\070202.jpg,https://proquinorte.myshopify.com/collections/070202,,070202,"
Puntas sin filtro
"
https://proquinorte.myshopify.com/pages/puntas-de-pipeta,puntas-de-pipeta,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Puntas%20de%20pipeta/otras.jpg,C:\images\070203.jpg,https://proquinorte.myshopify.com/collections/070203,,070203,"
Otras puntas
"
https://proquinorte.myshopify.com/pages/manejo-de-liquidos,manejo-de-liquidos,https://39896041.servicio-online.net/Fotos/menu/Manejo%20de%20l%C3%ADquidos/Multidispensacion.png,C:\images\multidispensacion.jpg,https://proquinorte.myshopify.com/pages/multidispensacion,multidispensacion,,Multidispensación
https://proquinorte.myshopify.com/pages/multidispensacion,multidispensacion,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/multi.jpg?v=1631804091,C:\images\070301.jpg,https://proquinorte.myshopify.com/collections/070301,,070301,"
Multidispensadores
"
https://proquinorte.myshopify.com/pages/multidispensacion,multidispensacion,https://cdn.shopify.com/s/files/1/0568/3068/9429/files/acce.jpg?v=1631804091,C:\images\070302.jpg,https://proquinorte.myshopify.com/collections/070302,,070302,"
Accesorios de multidispensación
"
